# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_long_office_household.bag'
# timestamp tx ty tz qx qy qz qw
1341847981.0000 -0.6756 2.6935 1.7375 -0.0002 0.8609 -0.5085 -0.0169
1341847981.0101 -0.6752 2.6936 1.7375 -0.0002 0.8608 -0.5087 -0.0169
1341847981.0200 -0.6749 2.6938 1.7375 -0.0003 0.8609 -0.5085 -0.0170
1341847981.0300 -0.6744 2.6940 1.7374 -0.0000 0.8612 -0.5080 -0.0170
1341847981.0400 -0.6740 2.6941 1.7374 0.0000 0.8614 -0.5077 -0.0172
1341847981.0500 -0.6736 2.6942 1.7374 -0.0001 0.8615 -0.5075 -0.0174
1341847981.0601 -0.6730 2.6946 1.7373 0.0002 0.8611 -0.5081 -0.0176
1341847981.0704 -0.6725 2.6946 1.7374 0.0004 0.8609 -0.5085 -0.0178
1341847981.0800 -0.6721 2.6947 1.7374 0.0006 0.8610 -0.5083 -0.0182
1341847981.0900 -0.6717 2.6947 1.7374 0.0007 0.8608 -0.5086 -0.0185
1341847981.1000 -0.6712 2.6948 1.7374 0.0011 0.8607 -0.5088 -0.0185
1341847981.1100 -0.6707 2.6949 1.7375 0.0013 0.8604 -0.5093 -0.0189
1341847981.1200 -0.6702 2.6950 1.7376 0.0012 0.8605 -0.5091 -0.0192
1341847981.1300 -0.6697 2.6951 1.7375 0.0013 0.8603 -0.5095 -0.0191
1341847981.1400 -0.6692 2.6952 1.7375 0.0015 0.8602 -0.5096 -0.0190
1341847981.1500 -0.6687 2.6952 1.7375 0.0019 0.8602 -0.5095 -0.0186
1341847981.1600 -0.6682 2.6954 1.7377 0.0024 0.8606 -0.5089 -0.0183
1341847981.1700 -0.6676 2.6955 1.7377 0.0027 0.8607 -0.5088 -0.0179
1341847981.1800 -0.6670 2.6956 1.7379 0.0029 0.8605 -0.5092 -0.0174
1341847981.1900 -0.6666 2.6954 1.7380 0.0030 0.8609 -0.5084 -0.0174
1341847981.2006 -0.6660 2.6955 1.7382 0.0032 0.8606 -0.5089 -0.0171
1341847981.2100 -0.6654 2.6957 1.7383 0.0040 0.8608 -0.5086 -0.0170
1341847981.2203 -0.6648 2.6960 1.7385 0.0045 0.8607 -0.5088 -0.0169
1341847981.2300 -0.6641 2.6966 1.7385 0.0053 0.8607 -0.5089 -0.0166
1341847981.2400 -0.6634 2.6967 1.7386 0.0058 0.8607 -0.5088 -0.0163
1341847981.2500 -0.6626 2.6969 1.7387 0.0063 0.8607 -0.5088 -0.0156
1341847981.2601 -0.6618 2.6966 1.7389 0.0063 0.8606 -0.5090 -0.0150
1341847981.2700 -0.6611 2.6968 1.7390 0.0064 0.8609 -0.5085 -0.0152
1341847981.2816 -0.6603 2.6970 1.7391 0.0065 0.8611 -0.5082 -0.0151
1341847981.2900 -0.6595 2.6971 1.7392 0.0069 0.8607 -0.5088 -0.0156
1341847981.3000 -0.6587 2.6972 1.7393 0.0069 0.8605 -0.5092 -0.0158
1341847981.3101 -0.6578 2.6974 1.7393 0.0070 0.8603 -0.5094 -0.0162
1341847981.3216 -0.6569 2.6976 1.7395 0.0074 0.8602 -0.5096 -0.0167
1341847981.3305 -0.6560 2.6978 1.7395 0.0074 0.8602 -0.5096 -0.0171
1341847981.3400 -0.6549 2.6980 1.7395 0.0078 0.8600 -0.5099 -0.0172
1341847981.3500 -0.6539 2.6983 1.7396 0.0079 0.8603 -0.5095 -0.0175
1341847981.3601 -0.6527 2.6990 1.7395 0.0083 0.8604 -0.5093 -0.0175
1341847981.3700 -0.6517 2.6994 1.7396 0.0087 0.8604 -0.5092 -0.0176
1341847981.3800 -0.6506 2.6997 1.7397 0.0091 0.8603 -0.5093 -0.0176
1341847981.3900 -0.6495 2.7000 1.7397 0.0094 0.8600 -0.5099 -0.0174
1341847981.4000 -0.6484 2.7000 1.7400 0.0092 0.8600 -0.5100 -0.0171
1341847981.4105 -0.6472 2.7002 1.7400 0.0093 0.8598 -0.5103 -0.0169
1341847981.4201 -0.6460 2.7007 1.7401 0.0096 0.8598 -0.5103 -0.0166
1341847981.4301 -0.6446 2.7011 1.7401 0.0097 0.8597 -0.5104 -0.0164
1341847981.4400 -0.6432 2.7016 1.7402 0.0100 0.8596 -0.5106 -0.0161
1341847981.4501 -0.6416 2.7024 1.7400 0.0105 0.8596 -0.5105 -0.0164
1341847981.4600 -0.6402 2.7029 1.7401 0.0110 0.8597 -0.5104 -0.0162
1341847981.4700 -0.6389 2.7028 1.7401 0.0110 0.8597 -0.5104 -0.0162
1341847981.4826 -0.6375 2.7033 1.7400 0.0108 0.8598 -0.5102 -0.0165
1341847981.4900 -0.6360 2.7038 1.7400 0.0107 0.8598 -0.5102 -0.0168
1341847981.5011 -0.6344 2.7043 1.7400 0.0110 0.8596 -0.5106 -0.0171
1341847981.5100 -0.6327 2.7053 1.7399 0.0114 0.8596 -0.5105 -0.0176
1341847981.5200 -0.6312 2.7055 1.7400 0.0111 0.8596 -0.5106 -0.0178
1341847981.5305 -0.6295 2.7059 1.7399 0.0111 0.8593 -0.5111 -0.0181
1341847981.5400 -0.6279 2.7064 1.7398 0.0113 0.8594 -0.5108 -0.0182
1341847981.5502 -0.6260 2.7072 1.7396 0.0118 0.8593 -0.5109 -0.0187
1341847981.5610 -0.6244 2.7078 1.7395 0.0116 0.8596 -0.5105 -0.0191
1341847981.5700 -0.6226 2.7083 1.7394 0.0118 0.8594 -0.5109 -0.0197
1341847981.5800 -0.6210 2.7085 1.7394 0.0114 0.8592 -0.5111 -0.0201
1341847981.5901 -0.6192 2.7091 1.7394 0.0116 0.8593 -0.5110 -0.0205
1341847981.6000 -0.6175 2.7098 1.7393 0.0115 0.8593 -0.5109 -0.0206
1341847981.6100 -0.6154 2.7106 1.7390 0.0126 0.8587 -0.5119 -0.0211
1341847981.6200 -0.6138 2.7108 1.7390 0.0123 0.8587 -0.5119 -0.0211
1341847981.6300 -0.6121 2.7113 1.7388 0.0123 0.8585 -0.5122 -0.0211
1341847981.6400 -0.6103 2.7119 1.7385 0.0123 0.8585 -0.5122 -0.0214
1341847981.6500 -0.6083 2.7128 1.7382 0.0128 0.8589 -0.5115 -0.0219
1341847981.6601 -0.6067 2.7131 1.7381 0.0122 0.8594 -0.5106 -0.0221
1341847981.6702 -0.6050 2.7136 1.7377 0.0121 0.8595 -0.5106 -0.0225
1341847981.6811 -0.6033 2.7139 1.7374 0.0122 0.8588 -0.5117 -0.0228
1341847981.6901 -0.6015 2.7146 1.7372 0.0126 0.8587 -0.5118 -0.0230
1341847981.7005 -0.5998 2.7149 1.7368 0.0131 0.8582 -0.5126 -0.0233
1341847981.7100 -0.5982 2.7153 1.7365 0.0134 0.8584 -0.5122 -0.0232
1341847981.7206 -0.5965 2.7160 1.7361 0.0134 0.8590 -0.5113 -0.0235
1341847981.7300 -0.5947 2.7165 1.7357 0.0137 0.8591 -0.5110 -0.0232
1341847981.7400 -0.5930 2.7170 1.7354 0.0138 0.8593 -0.5108 -0.0232
1341847981.7500 -0.5913 2.7174 1.7350 0.0137 0.8592 -0.5110 -0.0233
1341847981.7601 -0.5897 2.7180 1.7346 0.0134 0.8597 -0.5101 -0.0232
1341847981.7700 -0.5880 2.7185 1.7341 0.0134 0.8596 -0.5103 -0.0234
1341847981.7801 -0.5861 2.7195 1.7334 0.0138 0.8597 -0.5101 -0.0234
1341847981.7902 -0.5845 2.7197 1.7330 0.0135 0.8601 -0.5094 -0.0235
1341847981.8008 -0.5828 2.7202 1.7326 0.0136 0.8604 -0.5089 -0.0236
1341847981.8100 -0.5811 2.7208 1.7321 0.0140 0.8607 -0.5084 -0.0238
1341847981.8201 -0.5795 2.7212 1.7315 0.0140 0.8608 -0.5082 -0.0244
1341847981.8301 -0.5781 2.7217 1.7311 0.0134 0.8612 -0.5074 -0.0247
1341847981.8402 -0.5764 2.7222 1.7307 0.0132 0.8611 -0.5076 -0.0250
1341847981.8501 -0.5748 2.7226 1.7303 0.0130 0.8607 -0.5083 -0.0252
1341847981.8600 -0.5731 2.7232 1.7301 0.0129 0.8605 -0.5087 -0.0251
1341847981.8700 -0.5715 2.7235 1.7298 0.0130 0.8601 -0.5094 -0.0248
1341847981.8800 -0.5701 2.7239 1.7294 0.0129 0.8603 -0.5090 -0.0243
1341847981.8900 -0.5686 2.7242 1.7291 0.0129 0.8606 -0.5086 -0.0242
1341847981.9001 -0.5670 2.7246 1.7287 0.0130 0.8611 -0.5077 -0.0240
1341847981.9100 -0.5655 2.7250 1.7285 0.0127 0.8619 -0.5064 -0.0236
1341847981.9200 -0.5640 2.7253 1.7283 0.0127 0.8623 -0.5057 -0.0236
1341847981.9300 -0.5624 2.7260 1.7280 0.0132 0.8622 -0.5058 -0.0237
1341847981.9401 -0.5612 2.7258 1.7279 0.0125 0.8626 -0.5051 -0.0236
1341847981.9500 -0.5598 2.7260 1.7279 0.0126 0.8625 -0.5053 -0.0235
1341847981.9601 -0.5585 2.7263 1.7278 0.0129 0.8627 -0.5050 -0.0234
1341847981.9722 -0.5572 2.7266 1.7278 0.0128 0.8629 -0.5047 -0.0234
1341847981.9800 -0.5558 2.7266 1.7278 0.0128 0.8628 -0.5049 -0.0234
1341847981.9900 -0.5544 2.7268 1.7279 0.0126 0.8627 -0.5050 -0.0236
1341847982.0000 -0.5529 2.7270 1.7279 0.0120 0.8626 -0.5052 -0.0238
1341847982.0100 -0.5515 2.7270 1.7279 0.0116 0.8625 -0.5054 -0.0240
1341847982.0200 -0.5499 2.7275 1.7279 0.0119 0.8621 -0.5060 -0.0244
1341847982.0301 -0.5488 2.7272 1.7281 0.0110 0.8622 -0.5058 -0.0244
1341847982.0400 -0.5475 2.7272 1.7282 0.0105 0.8621 -0.5061 -0.0243
1341847982.0500 -0.5461 2.7274 1.7282 0.0102 0.8619 -0.5065 -0.0244
1341847982.0600 -0.5449 2.7273 1.7284 0.0098 0.8615 -0.5071 -0.0247
1341847982.0700 -0.5436 2.7275 1.7285 0.0096 0.8612 -0.5076 -0.0248
1341847982.0800 -0.5423 2.7276 1.7286 0.0091 0.8612 -0.5076 -0.0248
1341847982.0900 -0.5411 2.7276 1.7287 0.0089 0.8613 -0.5075 -0.0249
1341847982.1000 -0.5400 2.7278 1.7289 0.0087 0.8614 -0.5073 -0.0249
1341847982.1100 -0.5387 2.7282 1.7291 0.0087 0.8613 -0.5075 -0.0252
1341847982.1200 -0.5377 2.7284 1.7295 0.0082 0.8607 -0.5085 -0.0251
1341847982.1300 -0.5367 2.7284 1.7299 0.0078 0.8599 -0.5098 -0.0246
1341847982.1409 -0.5358 2.7282 1.7305 0.0076 0.8593 -0.5108 -0.0241
1341847982.1500 -0.5347 2.7282 1.7309 0.0078 0.8589 -0.5116 -0.0231
1341847982.1627 -0.5339 2.7282 1.7312 0.0077 0.8588 -0.5118 -0.0225
1341847982.1700 -0.5329 2.7284 1.7314 0.0084 0.8586 -0.5120 -0.0221
1341847982.1800 -0.5321 2.7281 1.7318 0.0083 0.8592 -0.5111 -0.0216
1341847982.1900 -0.5313 2.7281 1.7321 0.0088 0.8598 -0.5101 -0.0217
1341847982.2011 -0.5304 2.7281 1.7323 0.0091 0.8602 -0.5094 -0.0219
1341847982.2100 -0.5296 2.7279 1.7325 0.0098 0.8604 -0.5090 -0.0224
1341847982.2200 -0.5287 2.7279 1.7328 0.0101 0.8606 -0.5087 -0.0234
1341847982.2301 -0.5277 2.7277 1.7330 0.0105 0.8602 -0.5092 -0.0241
1341847982.2400 -0.5269 2.7276 1.7333 0.0108 0.8601 -0.5094 -0.0247
1341847982.2500 -0.5260 2.7275 1.7336 0.0108 0.8598 -0.5099 -0.0253
1341847982.2600 -0.5251 2.7275 1.7339 0.0106 0.8598 -0.5098 -0.0261
1341847982.2700 -0.5242 2.7274 1.7342 0.0105 0.8598 -0.5098 -0.0270
1341847982.2801 -0.5232 2.7277 1.7344 0.0108 0.8596 -0.5101 -0.0278
1341847982.2902 -0.5222 2.7273 1.7348 0.0108 0.8597 -0.5099 -0.0285
1341847982.3000 -0.5211 2.7274 1.7351 0.0112 0.8597 -0.5098 -0.0292
1341847982.3100 -0.5200 2.7275 1.7355 0.0120 0.8596 -0.5100 -0.0294
1341847982.3200 -0.5191 2.7275 1.7359 0.0131 0.8591 -0.5107 -0.0293
1341847982.3300 -0.5179 2.7274 1.7366 0.0137 0.8580 -0.5126 -0.0291
1341847982.3400 -0.5168 2.7276 1.7371 0.0146 0.8583 -0.5122 -0.0279
1341847982.3500 -0.5158 2.7276 1.7375 0.0149 0.8580 -0.5127 -0.0271
1341847982.3600 -0.5145 2.7280 1.7380 0.0157 0.8574 -0.5137 -0.0267
1341847982.3700 -0.5133 2.7282 1.7384 0.0156 0.8573 -0.5139 -0.0258
1341847982.3800 -0.5121 2.7281 1.7389 0.0160 0.8568 -0.5148 -0.0253
1341847982.3900 -0.5108 2.7281 1.7393 0.0162 0.8566 -0.5152 -0.0244
1341847982.4000 -0.5097 2.7278 1.7400 0.0163 0.8565 -0.5153 -0.0237
1341847982.4101 -0.5085 2.7277 1.7403 0.0170 0.8564 -0.5155 -0.0234
1341847982.4200 -0.5074 2.7277 1.7405 0.0177 0.8564 -0.5154 -0.0235
1341847982.4300 -0.5060 2.7278 1.7407 0.0189 0.8561 -0.5160 -0.0238
1341847982.4402 -0.5049 2.7275 1.7409 0.0202 0.8558 -0.5164 -0.0243
1341847982.4505 -0.5038 2.7273 1.7412 0.0209 0.8558 -0.5162 -0.0251
1341847982.4600 -0.5029 2.7266 1.7415 0.0208 0.8557 -0.5164 -0.0258
1341847982.4700 -0.5017 2.7262 1.7416 0.0214 0.8556 -0.5166 -0.0268
1341847982.4800 -0.5005 2.7260 1.7416 0.0217 0.8557 -0.5163 -0.0280
1341847982.4900 -0.4992 2.7257 1.7416 0.0219 0.8559 -0.5158 -0.0287
1341847982.5001 -0.4979 2.7255 1.7416 0.0225 0.8563 -0.5152 -0.0294
1341847982.5100 -0.4965 2.7250 1.7415 0.0226 0.8562 -0.5153 -0.0300
1341847982.5200 -0.4950 2.7247 1.7414 0.0231 0.8564 -0.5149 -0.0303
1341847982.5302 -0.4936 2.7243 1.7414 0.0236 0.8564 -0.5148 -0.0307
1341847982.5410 -0.4921 2.7241 1.7414 0.0240 0.8568 -0.5142 -0.0307
1341847982.5500 -0.4907 2.7235 1.7414 0.0247 0.8565 -0.5147 -0.0310
1341847982.5600 -0.4892 2.7230 1.7412 0.0258 0.8569 -0.5139 -0.0313
1341847982.5700 -0.4876 2.7226 1.7411 0.0268 0.8575 -0.5128 -0.0315
1341847982.5800 -0.4860 2.7223 1.7410 0.0276 0.8584 -0.5112 -0.0317
1341847982.5900 -0.4846 2.7220 1.7409 0.0281 0.8591 -0.5101 -0.0325
1341847982.6000 -0.4831 2.7215 1.7408 0.0291 0.8590 -0.5100 -0.0338
1341847982.6100 -0.4813 2.7212 1.7407 0.0295 0.8588 -0.5103 -0.0346
1341847982.6207 -0.4794 2.7207 1.7406 0.0301 0.8589 -0.5101 -0.0352
1341847982.6300 -0.4777 2.7202 1.7404 0.0303 0.8586 -0.5104 -0.0358
1341847982.6406 -0.4760 2.7200 1.7403 0.0303 0.8593 -0.5092 -0.0363
1341847982.6500 -0.4741 2.7192 1.7401 0.0315 0.8591 -0.5096 -0.0373
1341847982.6600 -0.4722 2.7190 1.7400 0.0322 0.8593 -0.5090 -0.0378
1341847982.6700 -0.4704 2.7186 1.7399 0.0326 0.8600 -0.5078 -0.0386
1341847982.6799 -0.4683 2.7180 1.7397 0.0336 0.8597 -0.5081 -0.0394
1341847982.6900 -0.4663 2.7176 1.7394 0.0343 0.8598 -0.5078 -0.0404
1341847982.7000 -0.4642 2.7172 1.7391 0.0349 0.8601 -0.5073 -0.0415
1341847982.7100 -0.4622 2.7169 1.7390 0.0358 0.8602 -0.5069 -0.0426
1341847982.7200 -0.4600 2.7165 1.7388 0.0360 0.8604 -0.5065 -0.0436
1341847982.7305 -0.4578 2.7158 1.7390 0.0358 0.8601 -0.5069 -0.0446
1341847982.7400 -0.4554 2.7154 1.7388 0.0365 0.8599 -0.5071 -0.0454
1341847982.7500 -0.4532 2.7149 1.7387 0.0369 0.8593 -0.5080 -0.0461
1341847982.7600 -0.4507 2.7146 1.7387 0.0377 0.8591 -0.5083 -0.0461
1341847982.7701 -0.4483 2.7143 1.7387 0.0386 0.8593 -0.5080 -0.0466
1341847982.7800 -0.4458 2.7141 1.7388 0.0391 0.8596 -0.5074 -0.0467
1341847982.7899 -0.4434 2.7140 1.7385 0.0411 0.8597 -0.5069 -0.0472
1341847982.8001 -0.4406 2.7139 1.7386 0.0415 0.8598 -0.5068 -0.0477
1341847982.8100 -0.4379 2.7135 1.7387 0.0417 0.8595 -0.5072 -0.0482
1341847982.8223 -0.4351 2.7133 1.7387 0.0423 0.8595 -0.5071 -0.0486
1341847982.8300 -0.4324 2.7130 1.7388 0.0423 0.8592 -0.5075 -0.0486
1341847982.8400 -0.4295 2.7126 1.7390 0.0428 0.8586 -0.5086 -0.0489
1341847982.8500 -0.4266 2.7125 1.7391 0.0429 0.8581 -0.5094 -0.0492
1341847982.8600 -0.4236 2.7122 1.7392 0.0434 0.8576 -0.5101 -0.0490
1341847982.8734 -0.4205 2.7118 1.7394 0.0439 0.8570 -0.5111 -0.0491
1341847982.8801 -0.4175 2.7116 1.7394 0.0438 0.8569 -0.5114 -0.0486
1341847982.8900 -0.4141 2.7114 1.7393 0.0441 0.8567 -0.5116 -0.0483
1341847982.9001 -0.4111 2.7112 1.7392 0.0440 0.8567 -0.5117 -0.0480
1341847982.9100 -0.4077 2.7110 1.7391 0.0441 0.8570 -0.5112 -0.0473
1341847982.9200 -0.4043 2.7109 1.7390 0.0445 0.8577 -0.5101 -0.0464
1341847982.9300 -0.4008 2.7105 1.7388 0.0449 0.8576 -0.5103 -0.0457
1341847982.9401 -0.3975 2.7103 1.7386 0.0453 0.8580 -0.5097 -0.0452
1341847982.9500 -0.3941 2.7099 1.7383 0.0452 0.8582 -0.5093 -0.0446
1341847982.9600 -0.3907 2.7094 1.7380 0.0456 0.8582 -0.5094 -0.0445
1341847982.9701 -0.3873 2.7090 1.7377 0.0458 0.8582 -0.5093 -0.0449
1341847982.9800 -0.3839 2.7087 1.7374 0.0461 0.8584 -0.5089 -0.0453
1341847982.9899 -0.3807 2.7083 1.7371 0.0458 0.8585 -0.5087 -0.0463
1341847983.0002 -0.3775 2.7080 1.7368 0.0457 0.8584 -0.5087 -0.0474
1341847983.0101 -0.3741 2.7076 1.7365 0.0460 0.8587 -0.5082 -0.0483
1341847983.0209 -0.3709 2.7073 1.7362 0.0460 0.8590 -0.5076 -0.0488
1341847983.0300 -0.3677 2.7070 1.7358 0.0462 0.8593 -0.5069 -0.0492
1341847983.0400 -0.3645 2.7066 1.7354 0.0466 0.8591 -0.5072 -0.0492
1341847983.0500 -0.3610 2.7064 1.7352 0.0472 0.8596 -0.5065 -0.0490
1341847983.0600 -0.3578 2.7062 1.7350 0.0475 0.8597 -0.5062 -0.0489
1341847983.0700 -0.3548 2.7059 1.7347 0.0475 0.8598 -0.5060 -0.0483
1341847983.0800 -0.3516 2.7056 1.7345 0.0478 0.8602 -0.5054 -0.0482
1341847983.0900 -0.3484 2.7053 1.7343 0.0483 0.8601 -0.5055 -0.0479
1341847983.1000 -0.3454 2.7052 1.7342 0.0484 0.8601 -0.5055 -0.0480
1341847983.1100 -0.3422 2.7049 1.7342 0.0487 0.8600 -0.5057 -0.0477
1341847983.1200 -0.3392 2.7047 1.7341 0.0489 0.8599 -0.5059 -0.0476
1341847983.1300 -0.3361 2.7043 1.7342 0.0493 0.8595 -0.5064 -0.0475
1341847983.1424 -0.3329 2.7042 1.7342 0.0495 0.8595 -0.5066 -0.0471
1341847983.1500 -0.3299 2.7040 1.7343 0.0497 0.8593 -0.5068 -0.0470
1341847983.1600 -0.3268 2.7037 1.7344 0.0494 0.8592 -0.5072 -0.0464
1341847983.1700 -0.3237 2.7033 1.7344 0.0495 0.8589 -0.5076 -0.0458
1341847983.1800 -0.3204 2.7032 1.7345 0.0498 0.8591 -0.5074 -0.0456
1341847983.1900 -0.3175 2.7030 1.7345 0.0498 0.8593 -0.5071 -0.0449
1341847983.2001 -0.3144 2.7025 1.7346 0.0500 0.8592 -0.5072 -0.0446
1341847983.2100 -0.3113 2.7022 1.7346 0.0505 0.8593 -0.5070 -0.0443
1341847983.2199 -0.3083 2.7020 1.7345 0.0509 0.8596 -0.5066 -0.0442
1341847983.2300 -0.3052 2.7016 1.7345 0.0507 0.8598 -0.5063 -0.0438
1341847983.2400 -0.3023 2.7010 1.7344 0.0506 0.8598 -0.5062 -0.0439
1341847983.2500 -0.2994 2.7006 1.7344 0.0505 0.8602 -0.5055 -0.0447
1341847983.2600 -0.2963 2.7002 1.7343 0.0512 0.8605 -0.5049 -0.0450
1341847983.2724 -0.2933 2.6998 1.7342 0.0514 0.8609 -0.5041 -0.0456
1341847983.2800 -0.2905 2.6994 1.7342 0.0514 0.8615 -0.5031 -0.0464
1341847983.2900 -0.2876 2.6988 1.7342 0.0517 0.8615 -0.5030 -0.0469
1341847983.3001 -0.2846 2.6986 1.7342 0.0518 0.8622 -0.5016 -0.0477
1341847983.3100 -0.2818 2.6982 1.7343 0.0522 0.8624 -0.5011 -0.0488
1341847983.3200 -0.2788 2.6978 1.7344 0.0523 0.8624 -0.5011 -0.0492
1341847983.3300 -0.2760 2.6974 1.7346 0.0528 0.8626 -0.5006 -0.0503
1341847983.3402 -0.2734 2.6969 1.7347 0.0531 0.8624 -0.5009 -0.0512
1341847983.3500 -0.2705 2.6968 1.7348 0.0535 0.8626 -0.5004 -0.0521
1341847983.3601 -0.2676 2.6963 1.7350 0.0531 0.8623 -0.5009 -0.0528
1341847983.3701 -0.2646 2.6959 1.7352 0.0533 0.8623 -0.5007 -0.0537
1341847983.3800 -0.2618 2.6957 1.7354 0.0534 0.8621 -0.5011 -0.0537
1341847983.3899 -0.2589 2.6953 1.7355 0.0540 0.8615 -0.5020 -0.0537
1341847983.4000 -0.2558 2.6951 1.7357 0.0544 0.8615 -0.5020 -0.0529
1341847983.4100 -0.2528 2.6948 1.7359 0.0553 0.8622 -0.5009 -0.0523
1341847983.4200 -0.2497 2.6948 1.7360 0.0552 0.8627 -0.5001 -0.0511
1341847983.4300 -0.2466 2.6944 1.7360 0.0565 0.8624 -0.5006 -0.0504
1341847983.4400 -0.2435 2.6942 1.7361 0.0565 0.8629 -0.4998 -0.0498
1341847983.4500 -0.2403 2.6939 1.7363 0.0563 0.8627 -0.5002 -0.0497
1341847983.4609 -0.2371 2.6938 1.7364 0.0563 0.8629 -0.4997 -0.0502
1341847983.4700 -0.2338 2.6936 1.7364 0.0566 0.8624 -0.5004 -0.0508
1341847983.4800 -0.2306 2.6936 1.7366 0.0558 0.8619 -0.5013 -0.0518
1341847983.4900 -0.2273 2.6936 1.7367 0.0559 0.8618 -0.5013 -0.0533
1341847983.5000 -0.2242 2.6937 1.7367 0.0562 0.8619 -0.5009 -0.0547
1341847983.5100 -0.2209 2.6938 1.7369 0.0561 0.8615 -0.5015 -0.0564
1341847983.5200 -0.2176 2.6938 1.7368 0.0568 0.8611 -0.5019 -0.0578
1341847983.5299 -0.2142 2.6939 1.7370 0.0571 0.8619 -0.5004 -0.0592
1341847983.5400 -0.2109 2.6940 1.7372 0.0570 0.8615 -0.5009 -0.0603
1341847983.5499 -0.2076 2.6942 1.7372 0.0576 0.8614 -0.5009 -0.0611
1341847983.5599 -0.2040 2.6944 1.7374 0.0577 0.8624 -0.4992 -0.0618
1341847983.5700 -0.2003 2.6947 1.7377 0.0583 0.8619 -0.4999 -0.0618
1341847983.5800 -0.1968 2.6949 1.7379 0.0580 0.8617 -0.5003 -0.0620
1341847983.5907 -0.1932 2.6952 1.7381 0.0585 0.8614 -0.5008 -0.0618
1341847983.6001 -0.1896 2.6956 1.7385 0.0586 0.8610 -0.5015 -0.0617
1341847983.6100 -0.1860 2.6960 1.7388 0.0587 0.8607 -0.5020 -0.0618
1341847983.6200 -0.1823 2.6965 1.7391 0.0594 0.8604 -0.5024 -0.0619
1341847983.6300 -0.1786 2.6970 1.7395 0.0598 0.8604 -0.5022 -0.0626
1341847983.6400 -0.1747 2.6975 1.7398 0.0599 0.8602 -0.5024 -0.0631
1341847983.6500 -0.1712 2.6979 1.7401 0.0600 0.8600 -0.5028 -0.0636
1341847983.6600 -0.1672 2.6984 1.7404 0.0604 0.8588 -0.5047 -0.0641
1341847983.6700 -0.1635 2.6990 1.7408 0.0606 0.8582 -0.5057 -0.0644
1341847983.6801 -0.1596 2.6998 1.7412 0.0610 0.8577 -0.5064 -0.0645
1341847983.6899 -0.1557 2.7003 1.7416 0.0618 0.8579 -0.5060 -0.0647
1341847983.7000 -0.1515 2.7009 1.7420 0.0623 0.8576 -0.5065 -0.0640
1341847983.7099 -0.1475 2.7017 1.7422 0.0626 0.8573 -0.5070 -0.0639
1341847983.7200 -0.1434 2.7022 1.7426 0.0630 0.8571 -0.5073 -0.0635
1341847983.7302 -0.1392 2.7029 1.7428 0.0631 0.8570 -0.5075 -0.0632
1341847983.7407 -0.1351 2.7036 1.7430 0.0639 0.8569 -0.5077 -0.0627
1341847983.7500 -0.1310 2.7041 1.7431 0.0641 0.8565 -0.5083 -0.0627
1341847983.7601 -0.1267 2.7047 1.7433 0.0644 0.8562 -0.5087 -0.0626
1341847983.7701 -0.1223 2.7053 1.7434 0.0650 0.8565 -0.5082 -0.0623
1341847983.7802 -0.1181 2.7059 1.7433 0.0657 0.8558 -0.5092 -0.0628
1341847983.7910 -0.1137 2.7063 1.7435 0.0657 0.8555 -0.5097 -0.0631
